name,county,country,lat,lon
Cork University Hospital,Cork,  Ireland,51.883783,-8.512514	 
Mayo General Hospital,Mayo,  Ireland,53.851882,-9.302988	 
South Tipperary General Hospital,Tipperary,  Ireland,52.355383,-7.715075	 
Nenagh General Hospital,Tipperary,Ireland,52.857499,-8.190465	 
University Hospital Kerry,Kerry, Ireland,52.265425,-9.686305	 
Sligo Clinic,Sligo,  Ireland,54.255838,-8.469724	 
Tallaght Hospital AGI,Dublin,  Ireland,53.29287,-6.379125	 
St. John's Hospital Limerick,Limerick,  Ireland,52.663317,-8.616801	 
University Hospital Limerick,Limerick,  Ireland,52.634568,-8.653267	 
Old Blackrock Road,Cork,  Ireland,51.893606,-8.459831	 
Wexford General Hospital Helipad,Wexford,  Ireland,52.343428,-6.484145	 
University Hospital Galway,Galway,  Ireland,53.276585,-9.06616	 
Our Lady’s Hospital,Meath,  Ireland,53.650448,-6.697086	 
Monaghan General Hospital,Monaghan,  Ireland,54.249589,-6.973988	 
Connolly Hospital,Dublin,  Ireland,53.388718,-6.366709	 
Midlands Regional Hospital Mullingar,Kildare,  Ireland,53.533815,-7.349089	 
Cavan General Hospital,Cavan,  Ireland,54.00112,-7.372971	 
Letterkenny Library,Donegal,  Ireland,	54.948399,-7.737919	 
Mallow General Hospital,Cork,Ireland,52.151982,-8.663488	 
St. James's Hospital,Dublin,  Ireland,53.340269,-6.295766	 
Cork Blackrock and Passage Railway,Cork,  Ireland,51.899688,-8.438038	 
Ennis Hospital,Clare,Ireland,52.851055,-8.983205	 
Dun Laoghaire-Glasthule,Dublin,Ireland,53.289922,-6.126644	 
Merlin Park Hospital,Galway,Ireland,53.277985,-8.998807	 
Freshford Road,Kilkenny, Ireland,52.660684,-7.259808	 
St Vincent's University Hospital,Dublin,Ireland,53.316987,-6.212045	 
Mater Misericordiae University Hospital,Dublin,  Ireland,53.359082,-6.266831	 
University Hospital Waterford,Waterford,  Ireland,52.248358,-7.078015	 
Midland Regional Hospital Car Park,Laois,Ireland,53.037314,-7.274439	 
Dundalk,Louth,Ireland,54.000337,-6.398438	 
Our Lady of Lourdes Hospital,Meath,  Ireland,53.722527,-6.35401	 
Naas General Hospital,Kildare,  Ireland,53.211454,-6.661353	 
Bantry General Hospital,Cork,  Ireland,51.676442,-9.450353	 
Dublin,Dublin,Ireland,53.33928,-6.281314	 
Beaumont Hospital,Dublin,  Ireland,53.387601,-6.227807	 
Portiuncula Hospital Ballinasloe,Galway,Ireland,53.326933,-8.235654	 
Roscommon Hospital,Roscommon,  Ireland,53.624823,-8.17553	 
Midland Regional Hospital at Tullamore,Offaly,  Ireland,53.282684,-7.489502	
